NU_ID;NU_NR;HH021;HH071_1;HH071_2;HH071_3;HH071_4;ADR_KEITE
10250000.0;102500.0;1.0;2.0;;;;NE
40118700.0;401187.0;1.0;2.0;;;;NE
30242200.0;302422.0;1.0;2.0;;;;NE
10323100.0;103231.0;1.0;2.0;;;;NE
30015000.0;300150.0;2.0;2.0;;;;NE
40092000.0;400920.0;1.0;2.0;;;;NE
40217600.0;402176.0;1.0;2.0;;;;NE
10232900.0;102329.0;2.0;1.0;;12.0;12.0;NE
30019600.0;300196.0;1.0;2.0;;;;NE
20152700.0;201527.0;1.0;2.0;;;;NE
30271100.0;302711.0;1.0;2.0;;;;NE
40158900.0;401589.0;1.0;2.0;;;;NE
40252300.0;402523.0;3.0;2.0;;;;NE
40015500.0;400155.0;1.0;2.0;;;;NE
40057400.0;400574.0;5.0;2.0;;;;NE
10006900.0;100069.0;1.0;2.0;;;;NE
10153000.0;101530.0;2.0;1.0;;6.0;12.0;NE
20335800.0;203358.0;1.0;2.0;;;;NE
40149400.0;401494.0;1.0;2.0;;;;NE
40185800.0;401858.0;1.0;2.0;;;;NE
40102300.0;401023.0;1.0;2.0;;;;NE
30206400.0;302064.0;1.0;2.0;;;;NE
10247000.0;102470.0;1.0;2.0;;;;NE
10251900.0;102519.0;1.0;2.0;;;;NE
20303800.0;203038.0;1.0;2.0;;;;NE
30085100.0;300851.0;1.0;2.0;;;;NE
40323000.0;403230.0;1.0;2.0;;;;NE
10310500.0;103105.0;5.0;2.0;;;;NE
40168900.0;401689.0;1.0;2.0;;;;NE
20288900.0;202889.0;1.0;2.0;;;;NE
40237000.0;402370.0;1.0;2.0;;;;NE
30143100.0;301431.0;1.0;2.0;;;;NE
40339800.0;403398.0;1.0;2.0;;;;NE
30142200.0;301422.0;1.0;2.0;;;;NE
10207200.0;102072.0;1.0;2.0;;;;NE
10271700.0;102717.0;1.0;2.0;;;;NE
10098800.0;100988.0;1.0;2.0;505.0;;;NE
20048800.0;200488.0;1.0;2.0;;;;NE
30227700.0;302277.0;1.0;2.0;;;;NE
20290000.0;202900.0;1.0;2.0;;;;NE
10333800.0;103338.0;1.0;2.0;505.0;;;NE
